step,J,J_tensor,J_volume,J_reg,volume,grad_rms,step_rms,grey,perimeter,C11,C12,ms
48,1.49769,1.49497,2.31003e-11,0.00271994,0.499995,0.992484,0.0256236,0.201786,0.180741,0.289455,0.1087,1443.65
49,1.48006,1.47728,2.37931e-11,0.00277992,0.499995,0.992286,0.0255471,0.198257,0.18244,0.286423,0.107313,1443.77
50,1.46349,1.46065,2.46236e-11,0.00283806,0.499995,0.992111,0.0254709,0.195122,0.18403,0.283588,0.105978,1443.07
51,1.44771,1.44482,2.57144e-11,0.00289465,0.499995,0.991949,0.0253889,0.192287,0.185527,0.280875,0.104686,1458.51
52,1.43246,1.42951,2.6901e-11,0.00295033,0.499995,0.991802,0.0253065,0.189163,0.186959,0.278259,0.103417,1456.72
53,1.41783,1.41482,2.8306e-11,0.0030054,0.499995,0.991654,0.0252226,0.186241,0.188338,0.275783,0.102179,1458.95
54,1.40363,1.40057,2.98511e-11,0.00306007,0.499994,0.99152,0.0251369,0.183537,0.189675,0.273376,0.100961,1463.61
55,1.39,1.38688,3.14449e-11,0.00311359,0.499994,0.991382,0.0250537,0.180916,0.190945,0.271066,0.0997758,1463.83
56,1.37694,1.37377,3.29445e-11,0.0031669,0.499994,0.991236,0.0249712,0.178116,0.192182,0.268868,0.0986257,1470.09
57,1.36432,1.3611,3.43279e-11,0.0032203,0.499994,0.991096,0.0248917,0.175682,0.193398,0.26676,0.0975012,1470.21
58,1.35229,1.34902,3.58622e-11,0.00327339,0.499994,0.990964,0.0248198,0.173256,0.194579,0.264769,0.0964192,1472.12
59,1.34088,1.33755,3.7084e-11,0.00332607,0.499994,0.99083,0.0247575,0.170887,0.195724,0.262864,0.0953847,1471.4
60,1.3302,1.32682,3.83898e-11,0.00337873,0.499994,0.990705,0.0247034,0.168793,0.196846,0.261049,0.0944146,1471
61,1.32009,1.31666,3.95364e-11,0.00343141,0.499994,0.990567,0.0246633,0.16647,0.197946,0.259299,0.0934913,1471.66
62,1.31065,1.30717,4.08045e-11,0.00348472,0.499994,0.99042,0.024645,0.164299,0.199044,0.257623,0.0926282,1472.87
63,1.30195,1.29841,4.21028e-11,0.00353824,0.499993,0.99027,0.0246414,0.162231,0.200127,0.256021,0.0918331,1486.37
64,1.29389,1.2903,4.33662e-11,0.00359215,0.499993,0.990116,0.0246398,0.160236,0.201202,0.254472,0.0910995,1486.3
65,1.2863,1.28265,4.4883e-11,0.00364668,0.499993,0.989968,0.0246501,0.158165,0.202274,0.252975,0.0904079,1485.93
66,1.27931,1.27561,4.64757e-11,0.003701,0.499993,0.98982,0.0246779,0.156269,0.203321,0.251542,0.0897738,1486.09
67,1.27295,1.26919,4.78923e-11,0.00375457,0.499993,0.989662,0.0247182,0.154476,0.204326,0.250189,0.0892006,1487.12
68,1.2671,1.26329,4.94116e-11,0.00380759,0.499993,0.989494,0.0247629,0.152576,0.205297,0.248875,0.0886758,1493.12
69,1.26161,1.25775,5.09102e-11,0.00386041,0.499993,0.98933,0.0248006,0.150795,0.206246,0.247584,0.0881858,1499.7
70,1.25634,1.25242,5.27873e-11,0.00391388,0.499993,0.989163,0.0248365,0.148903,0.207197,0.246301,0.0877167,1506.68
71,1.25127,1.2473,5.52554e-11,0.00396798,0.499992,0.989013,0.0248704,0.147224,0.208151,0.245015,0.0872676,1506.94
72,1.24638,1.24236,5.80881e-11,0.00402211,0.499992,0.988875,0.0249011,0.145508,0.20909,0.243742,0.0868361,1505.35
73,1.24167,1.2376,6.09012e-11,0.00407583,0.499992,0.988754,0.0249303,0.143871,0.210002,0.24249,0.0864218,1511.94
74,1.23712,1.23299,6.40546e-11,0.00412919,0.499992,0.988642,0.0249567,0.14259,0.210889,0.241247,0.0860231,1524.57
75,1.23268,1.2285,6.68263e-11,0.00418223,0.499992,0.988522,0.024984,0.140991,0.211754,0.240021,0.0856353,1525.27
76,1.22839,1.22415,6.99068e-11,0.0042355,0.499991,0.988407,0.0250074,0.139549,0.212611,0.238822,0.0852602,1525.51
77,1.22419,1.2199,7.3374e-11,0.00428941,0.499991,0.988281,0.0250357,0.138126,0.213472,0.237638,0.0848926,1525.57
78,1.22018,1.21583,7.68409e-11,0.00434409,0.499991,0.988169,0.0250655,0.136429,0.21434,0.236511,0.0845433,1525.98
79,1.21635,1.21195,8.10241e-11,0.00439924,0.499991,0.988049,0.0250975,0.135052,0.215206,0.235438,0.0842112,1532.88
80,1.21266,1.2082,8.56037e-11,0.00445504,0.49999,0.987912,0.0251337,0.133369,0.216076,0.234398,0.0838913,1532.46
81,1.20912,1.2046,9.05445e-11,0.00451197,0.49999,0.987772,0.025177,0.13195,0.216961,0.233403,0.0835853,1539.86
82,1.20573,1.20116,9.59072e-11,0.00456977,0.49999,0.987639,0.0252246,0.130333,0.217854,0.232454,0.0832939,1539.33
83,1.20253,1.1979,1.01787e-10,0.004628,0.49999,0.987499,0.0252722,0.128746,0.218743,0.231565,0.0830193,1541.13
84,1.19944,1.19475,1.08424e-10,0.004687,0.499989,0.987358,0.0253139,0.12735,0.219638,0.230715,0.082755,1554.95
85,1.1964,1.19165,1.1564e-10,0.00474689,0.499989,0.987226,0.0253569,0.125729,0.220542,0.229874,0.0824946,1553.46
86,1.19347,1.18866,1.23323e-10,0.00480714,0.499989,0.987113,0.0253998,0.124454,0.22144,0.22907,0.0822448,1560.25
87,1.19062,1.18576,1.31395e-10,0.00486774,0.499988,0.986981,0.0254383,0.123161,0.222332,0.228289,0.0820038,1566.82
88,1.18782,1.18289,1.40307e-10,0.00492906,0.499988,0.986865,0.0254766,0.121727,0.223229,0.227512,0.0817662,1574.64
89,1.18505,1.18006,1.50004e-10,0.00499061,0.499987,0.986724,0.0255124,0.120464,0.224117,0.226739,0.081532,1574.09
90,1.18231,1.17725,1.6069e-10,0.00505291,0.499987,0.986582,0.0255475,0.119213,0.22501,0.225969,0.0813005,1573.76
91,1.17959,1.17447,1.71581e-10,0.00511605,0.499986,0.986452,0.0255827,0.117882,0.225909,0.225202,0.0810723,1581.23
92,1.1769,1.17172,1.8357e-10,0.00518029,0.499986,0.986363,0.0256189,0.116562,0.22682,0.224441,0.080847,1581.97
93,1.1743,1.16905,1.95747e-10,0.00524398,0.499986,0.986266,0.0256522,0.115425,0.227705,0.223711,0.0806306,1581.02
94,1.17171,1.1664,2.09101e-10,0.00530843,0.499985,0.986152,0.0256835,0.114037,0.228595,0.222986,0.0804167,1582.15
95,1.16912,1.16375,2.23871e-10,0.00537431,0.499985,0.986031,0.0257141,0.112808,0.229504,0.22225,0.0802031,1581.5
96,1.16653,1.16109,2.39666e-10,0.0054416,0.499984,0.985908,0.0257436,0.111584,0.230432,0.221512,0.0799898,1581.36
97,1.16395,1.15844,2.57413e-10,0.00551025,0.499983,0.985811,0.0257722,0.110493,0.231376,0.22078,0.0797783,1581.75
98,1.16139,1.15581,2.75726e-10,0.00557889,0.499983,0.985712,0.0257974,0.109474,0.232307,0.220057,0.0795699,1587.54
99,1.15882,1.15318,2.93857e-10,0.00564775,0.499982,0.985593,0.0258214,0.108227,0.233229,0.219329,0.0793614,1590.96
100,1.15624,1.15052,3.13785e-10,0.00571813,0.499982,0.985485,0.0258466,0.107208,0.234172,0.218588,0.0791519,1590
101,1.15366,1.14787,3.33814e-10,0.00578923,0.499981,0.985393,0.0258705,0.106102,0.235117,0.217857,0.0789444,1589.63
102,1.1511,1.14523,3.53536e-10,0.00586075,0.499981,0.985293,0.0258929,0.105213,0.236057,0.217134,0.0787395,1589.61
103,1.14853,1.1426,3.73502e-10,0.00593294,0.49998,0.985191,0.0259126,0.10429,0.236999,0.216414,0.0785358,1589.98
104,1.14597,1.13996,3.95233e-10,0.00600546,0.49998,0.985087,0.0259316,0.103416,0.237934,0.215699,0.0783334,1589.35
105,1.14341,1.13733,4.18575e-10,0.00607837,0.499979,0.984989,0.025952,0.102589,0.238865,0.214992,0.0781328,1589.8
106,1.14087,1.13472,4.40203e-10,0.0061515,0.499978,0.984886,0.0259728,0.101517,0.239787,0.214301,0.0779367,1590.29
107,1.13837,1.13214,4.63057e-10,0.00622541,0.499978,0.984774,0.0259899,0.10046,0.240713,0.213629,0.0777461,1588.88
108,1.13587,1.12957,4.86355e-10,0.0063003,0.499977,0.984671,0.0260066,0.0995941,0.241645,0.21296,0.0775581,1596.23
109,1.13339,1.12702,5.1066e-10,0.00637553,0.499977,0.984563,0.0260242,0.0987167,0.242572,0.212303,0.0773744,1602.34
110,1.13094,1.12449,5.3453e-10,0.00645134,0.499976,0.98446,0.0260427,0.0978508,0.243497,0.211663,0.0771951,1611.06
