# Per-repeat cells for heat3d_n3_cost_summary.csv. All 24 admitted.
# revision 040c9b6c13c3cd0842eb182473dd1cdf47616c66 dirty=0.
tag,repeat,N,method,fd_order,job,wall_step_ms,n_accepted,gpu_aware,use_pencils,revision,dirty,bin_sha256,account,partition,nodes,ntasks,run_dir,admitted,reject_reason
n512_fd12_r3,3,512,fd,12,22209972,2.5530890000027284,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd12_r3_22209972,yes,
n512_fd2_r1,1,512,fd,2,22209970,0.8559440000013296,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd2_r1_22209970,yes,
n512_fd2_r2,2,512,fd,2,22209971,0.8565929999999611,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd2_r2_22209971,yes,
n512_fd2_r3,3,512,fd,2,22209972,0.8564469999985391,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd2_r3_22209972,yes,
n512_fd8_r1,1,512,fd,8,22209970,1.8206190000000788,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd8_r1_22209970,yes,
n512_fd8_r2,2,512,fd,8,22209971,1.821185999999031,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd8_r2_22209971,yes,
n512_fd8_r3,3,512,fd,8,22209972,1.8198720000004442,25,1,,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,c870bbbc1e7478c84841635acd969c6c6870144365d7408ae56d0ed539c094b3,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_fd8_r3_22209972,yes,
n512_spectral_r1,1,512,spectral,0,22209970,20.517179000307806,25,1,0,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,df4e459c19ede6d751c4d605481b7a7d6f9dacd85154d1aab6cb88c84dd60cb8,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_spectral_r1_22209970,yes,
n512_spectral_r2,2,512,spectral,0,22209971,20.766784999977972,25,1,0,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,df4e459c19ede6d751c4d605481b7a7d6f9dacd85154d1aab6cb88c84dd60cb8,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_spectral_r2_22209971,yes,
n512_spectral_r3,3,512,spectral,0,22209972,21.372822000103042,25,1,0,040c9b6c13c3cd0842eb182473dd1cdf47616c66,0,df4e459c19ede6d751c4d605481b7a7d6f9dacd85154d1aab6cb88c84dd60cb8,project_462001519,standard-g,1,8,/scratch/project_462001519/juaho/openpfc-scaling/heat3d-n3-cost-592/runs/n512_spectral_r3_22209972,yes,
