step,J,J_tensor,J_volume,J_reg,volume,grey,C11,C12,nu_eff,C_fro,design_rms,dJ_rel,dC_rel,morph_frac,step_rms,grad_rms,simp_p,lambda_reg,frozen,conv_window,candidate,verified,ms,elasticity,termination
102,0.00427993,0.00018904,4.51161e-27,0.00409089,0.257587,0.645252,0.0504532,0.00390172,0.0717822,0.114693,0.000485212,5.8615e-06,0.000439804,0.000240138,0.000711866,0.0177967,2,0.2,1,0,0,0,3707.6,1,RUNNING
103,0.00427417,0.000189668,4.63927e-27,0.0040845,0.257587,0.645828,0.0504485,0.00392813,0.0722394,0.114677,0.00048122,5.7657e-06,0.00043511,0.000368212,0.000709467,0.0177367,2,0.2,1,0,0,0,3617.44,1,RUNNING
104,0.0042685,0.000190286,4.78406e-27,0.00407821,0.257587,0.646516,0.0504435,0.00395415,0.0726898,0.114661,0.000477303,5.67246e-06,0.000430535,0.000288166,0.000707118,0.017678,2,0.2,1,0,0,0,3661.73,1,RUNNING
105,0.00426291,0.000190894,4.88441e-27,0.00407202,0.257587,0.647061,0.0504383,0.00397978,0.0731335,0.114646,0.000473458,5.58167e-06,0.000426073,0.000512295,0.000704819,0.0176205,2,0.2,1,0,0,0,3622.76,1,RUNNING
106,0.00425742,0.000191493,5.51662e-27,0.00406593,0.257587,0.647397,0.0504328,0.00400503,0.0735707,0.114631,0.000469684,5.49326e-06,0.000421719,0.000288166,0.000702569,0.0175642,2,0.2,1,0,0,0,3612.6,1,RUNNING
107,0.00425201,0.000192082,5.66604e-27,0.00405993,0.257587,0.647749,0.0504271,0.00402991,0.0740016,0.114615,0.000465979,5.40716e-06,0.000417468,0.000272157,0.000700366,0.0175091,2,0.2,1,0,0,0,3577.39,1,RUNNING
108,0.00424669,0.000192662,5.7163e-27,0.00405403,0.257587,0.648341,0.0504212,0.00405442,0.0744262,0.1146,0.000462341,5.32328e-06,0.000413318,0.000240138,0.000698208,0.0174552,2,0.2,1,0,0,0,3684.91,1,RUNNING
109,0.00424145,0.000193233,5.92807e-27,0.00404822,0.257587,0.649046,0.0504151,0.00407857,0.0748449,0.114585,0.000458769,5.24155e-06,0.000409263,0.000256148,0.000696094,0.0174024,2,0.2,1,0,0,0,3706.83,1,RUNNING
110,0.00423629,0.000193795,5.35293e-27,0.00404249,0.257587,0.64959,0.0504088,0.00410238,0.0752576,0.11457,0.000455261,5.1619e-06,0.000405299,0.000368212,0.000694023,0.0173506,2,0.2,1,0,0,0,3591.85,1,RUNNING
111,0.0042312,0.000194349,5.40177e-27,0.00403685,0.257587,0.64991,0.0504024,0.00412585,0.0756645,0.114556,0.000451815,5.08426e-06,0.000401422,0.000336194,0.000691994,0.0172999,2,0.2,1,0,0,0,3559.86,1,RUNNING
