# alloy_dendrite_hip_growth, LUMI-G job 22045158, 192^2, dx=0.8, 4000 steps.
# Frozen five-arm flags unchanged from 22043824. New columns: el_wstar, el_balance_rel.
# F = int f_el dV; W* = -1/2 int sigma:eps*; el_balance_rel = |F-W*| / max(|F|,|W*|,1e-30).
run_id,step,t,t_pf_ms,t_el_ms,el_iters,el_energy,el_wstar,el_balance_rel,el_residual,el_max_dfel,mean_p,sig_vm_max,x_tip,v_tip,rho_tip
on,2400,28.800000,0.293071,1.686316,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,94.011015,1.890525e-01,10.691281
on,2600,31.200000,0.302639,1.686907,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,94.424469,1.722728e-01,10.808525
on,2800,33.600000,0.297771,1.685393,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,94.841461,1.737466e-01,10.780486
on,3000,36.000000,0.296087,1.683841,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,95.241560,1.667079e-01,10.878160
on,3200,38.400000,0.296928,1.684333,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,95.637834,1.651142e-01,10.849380
on,3400,40.800000,0.297119,1.691766,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,96.014721,1.570363e-01,10.959640
on,3600,43.200000,0.295776,1.686736,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,96.405634,1.628802e-01,10.905446
on,3800,45.600000,0.297690,1.685344,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,96.753277,1.448512e-01,11.036994
on,4000,48.000000,0.315836,1.686135,1,0.000000e+00,-0.000000e+00,0.000e+00,0.000e+00,0.000000e+00,0.000000e+00,0.000000e+00,97.147781,1.643767e-01,10.955529
solutal,200,2.400000,0.296468,12.497009,8,4.045652e-03,4.045645e-03,1.720e-06,6.252e-07,2.770298e-05,-1.614068e-20,5.055923e-03,87.833283,0.000000e+00,9.638249
solutal,400,4.800000,0.289795,10.952561,7,4.143556e-03,4.143549e-03,1.494e-06,8.275e-07,2.875608e-05,7.983286e-20,4.951489e-03,88.657569,3.434525e-01,9.873066
solutal,600,7.200000,0.297470,10.946509,7,4.255220e-03,4.255216e-03,9.318e-07,6.329e-07,2.993343e-05,1.992880e-20,4.881766e-03,89.362778,2.938371e-01,10.040209
solutal,800,9.600000,0.301257,10.947140,7,4.373909e-03,4.373907e-03,5.978e-07,5.378e-07,3.078532e-05,3.091670e-20,4.825233e-03,90.018755,2.733237e-01,10.123813
solutal,1000,12.000000,0.292240,9.423120,6,4.492188e-03,4.492180e-03,1.588e-06,9.901e-07,3.144330e-05,-3.651653e-20,4.779679e-03,90.623279,2.518849e-01,10.188719
solutal,1200,14.400000,0.302148,9.397500,6,4.606912e-03,4.606906e-03,1.327e-06,6.587e-07,3.203642e-05,4.084581e-20,4.735441e-03,91.143441,2.167342e-01,10.429747
solutal,1400,16.800000,0.300285,9.419964,6,4.715968e-03,4.715962e-03,1.140e-06,7.412e-07,3.255008e-05,5.872762e-20,4.702426e-03,91.677133,2.223717e-01,10.436520
solutal,1600,19.200000,0.301116,9.414112,6,4.818644e-03,4.818639e-03,1.006e-06,7.677e-07,3.294644e-05,-3.482247e-21,4.675440e-03,92.198478,2.172271e-01,10.449474
solutal,1800,21.600000,0.297900,9.420795,6,4.916402e-03,4.916398e-03,9.023e-07,5.062e-07,3.336581e-05,2.178757e-20,4.644067e-03,92.641546,1.846118e-01,10.615996
solutal,2000,24.000000,0.303181,9.421578,6,5.007478e-03,5.007474e-03,8.181e-07,7.177e-07,3.373184e-05,7.435067e-21,4.621246e-03,93.136970,2.064268e-01,10.573378
solutal,2200,26.400000,0.298582,9.409965,6,5.094387e-03,5.094383e-03,7.528e-07,6.582e-07,3.395521e-05,-7.016256e-20,4.596531e-03,93.557270,1.751250e-01,10.739379
solutal,2400,28.800000,0.298853,9.405947,6,5.176083e-03,5.176080e-03,6.948e-07,6.051e-07,3.427995e-05,-7.435067e-21,4.580134e-03,94.011000,1.890541e-01,10.691258
solutal,2600,31.200000,0.305194,9.405096,6,5.253570e-03,5.253566e-03,6.498e-07,6.865e-07,3.453484e-05,1.364664e-20,4.556644e-03,94.424449,1.722703e-01,10.808516
solutal,2800,33.600000,0.296527,9.412029,6,5.327240e-03,5.327237e-03,6.062e-07,5.307e-07,3.481380e-05,-1.581128e-20,4.540053e-03,94.841446,1.737490e-01,10.780464
solutal,3000,36.000000,0.295555,9.408341,6,5.397152e-03,5.397149e-03,5.731e-07,6.675e-07,3.498617e-05,-8.338569e-20,4.523341e-03,95.241539,1.667055e-01,10.878153
solutal,3200,38.400000,0.300195,9.399384,6,5.464033e-03,5.464030e-03,5.389e-07,5.041e-07,3.521763e-05,1.967940e-19,4.509480e-03,95.637819,1.651166e-01,10.849360
solutal,3400,40.800000,0.303882,9.400747,6,5.527687e-03,5.527685e-03,5.139e-07,6.357e-07,3.540347e-05,4.683151e-19,4.491599e-03,96.014700,1.570336e-01,10.959632
solutal,3600,43.200000,0.297369,9.407571,6,5.588606e-03,5.588603e-03,4.855e-07,5.018e-07,3.562779e-05,-9.882051e-21,4.478878e-03,96.405619,1.628828e-01,10.905427
solutal,3800,45.600000,0.300505,9.400758,6,5.647186e-03,5.647183e-03,4.660e-07,5.776e-07,3.573377e-05,5.759824e-20,4.464967e-03,96.753257,1.448495e-01,11.036981
solutal,4000,48.000000,0.296758,9.405616,6,5.702960e-03,5.702957e-03,4.425e-07,5.272e-07,3.593180e-05,-2.299694e-19,4.455129e-03,97.147765,1.643782e-01,10.955511
thermal,200,2.400000,0.312018,16.816075,11,1.271961e-04,1.271966e-04,3.505e-06,8.165e-07,1.698616e-06,5.314544e-21,1.130063e-03,87.744757,0.000000e+00,9.468600
thermal,400,4.800000,0.303852,15.307125,10,2.898063e-04,2.898070e-04,2.285e-06,7.510e-07,2.834398e-06,-2.776386e-21,1.528710e-03,88.435697,2.878918e-01,9.526930
thermal,600,7.200000,0.301327,13.806351,9,4.530452e-04,4.530472e-04,4.445e-06,8.262e-07,3.702306e-06,-2.386986e-20,1.751248e-03,89.013205,2.406282e-01,9.588188
thermal,800,9.600000,0.307709,13.801331,9,6.199473e-04,6.199494e-04,3.367e-06,5.975e-07,4.270440e-06,6.270397e-21,1.905155e-03,89.467016,1.890881e-01,9.737169
thermal,1000,12.000000,0.334061,12.311408,8,7.903926e-04,7.903946e-04,2.488e-06,8.902e-07,4.674741e-06,-6.835085e-21,2.032159e-03,89.948260,2.005183e-01,9.611596
thermal,1200,14.400000,0.334802,12.316789,8,9.639964e-04,9.639984e-04,2.000e-06,6.927e-07,5.121730e-06,-2.023468e-21,2.127884e-03,90.333937,1.606986e-01,9.764907
thermal,1400,16.800000,0.342598,10.781648,7,1.138569e-03,1.138575e-03,5.724e-06,9.575e-07,5.384432e-06,7.827996e-20,2.219627e-03,90.753024,1.746195e-01,9.618703
thermal,1600,19.200000,0.333720,10.777239,7,1.313317e-03,1.313323e-03,4.880e-06,7.814e-07,5.701879e-06,-6.682149e-21,2.300326e-03,91.086614,1.389959e-01,9.766058
thermal,1800,21.600000,0.318721,10.768972,7,1.486596e-03,1.486603e-03,4.271e-06,6.991e-07,5.964253e-06,-4.639858e-20,2.376339e-03,91.476843,1.625953e-01,9.639762
thermal,2000,24.000000,0.307539,10.766127,7,1.659154e-03,1.659160e-03,3.758e-06,5.848e-07,6.158309e-06,-7.576239e-21,2.443543e-03,91.777326,1.252013e-01,9.734007
thermal,2200,26.400000,0.302910,10.782750,7,1.828986e-03,1.828992e-03,3.422e-06,5.343e-07,6.371876e-06,-3.519892e-20,2.496151e-03,92.128746,1.464252e-01,9.721610
thermal,2400,28.800000,0.305175,9.262728,6,1.997627e-03,1.997631e-03,1.923e-06,8.918e-07,6.580666e-06,-9.769113e-20,2.552886e-03,92.432710,1.266517e-01,9.640719
thermal,2600,31.200000,0.303792,9.274601,6,2.163916e-03,2.163920e-03,1.676e-06,7.737e-07,6.739772e-06,-8.642089e-20,2.600725e-03,92.708715,1.150018e-01,9.779224
thermal,2800,33.600000,0.299192,9.273328,6,2.327759e-03,2.327763e-03,1.493e-06,7.400e-07,6.892446e-06,1.176435e-21,2.638237e-03,93.042869,1.392309e-01,9.671916
thermal,3000,36.000000,0.301016,9.265754,6,2.490548e-03,2.490552e-03,1.336e-06,6.531e-07,7.043906e-06,-4.992789e-20,2.679216e-03,93.300969,1.075418e-01,9.701522
thermal,3200,38.400000,0.299403,9.261315,6,2.650606e-03,2.650610e-03,1.335e-06,6.274e-07,7.186486e-06,-6.385687e-20,2.715280e-03,93.568721,1.115631e-01,9.798191
thermal,3400,40.800000,0.305605,9.250474,6,2.808813e-03,2.808816e-03,1.077e-06,6.237e-07,7.329866e-06,3.759885e-20,2.743907e-03,93.876162,1.281005e-01,9.676189
thermal,3600,43.200000,0.304453,7.761573,5,2.966133e-03,2.966151e-03,6.078e-06,8.917e-07,7.458655e-06,7.397421e-20,2.772130e-03,94.111884,9.821762e-02,9.733521
