# Equal-accuracy ranking using admitted Heat3D per-step costs (N^3, fixed step count). row_kind=order is one stencil; row_kind=cheapest is the winner (fd_order 0 = spectral).
row_kind,family_id,hardware,target_l2,fd_order,content_fraction,relative_cost,beats_spectral
order,isotropic_tophat,lumi-g,1.0000000000e-02,8,8.1377037438e-01,1.6176775460e-01,yes
order,isotropic_tophat,lumi-g,1.0000000000e-02,12,8.9499743472e-01,1.6106730540e-01,yes
cheapest,isotropic_tophat,lumi-g,1.0000000000e-02,12,8.9499743472e-01,1.6106730540e-01,yes
order,isotropic_tophat,lumi-g,1.0000000000e-03,2,9.3345694409e-02,3.8697585331e+01,no
order,isotropic_tophat,lumi-g,1.0000000000e-03,4,3.2544850213e-01,1.5548534487e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-03,6,4.6948290830e-01,6.7837995745e-01,yes
order,isotropic_tophat,lumi-g,1.0000000000e-03,8,5.6407607482e-01,4.8571838689e-01,yes
order,isotropic_tophat,lumi-g,1.0000000000e-03,12,6.7814197865e-01,3.7026347897e-01,yes
cheapest,isotropic_tophat,lumi-g,1.0000000000e-03,12,6.7814197865e-01,3.7026347897e-01,yes
order,isotropic_tophat,lumi-g,1.0000000000e-04,2,2.9484029484e-02,1.2280222299e+03,no
order,isotropic_tophat,lumi-g,1.0000000000e-04,4,1.8034396975e-01,9.1375847255e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-04,6,3.1298860553e-01,2.2895323564e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-04,8,4.1522739927e-01,1.2176979451e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-04,12,5.4734520813e-01,7.0418829804e-01,yes
cheapest,isotropic_tophat,lumi-g,1.0000000000e-04,12,5.4734520813e-01,7.0418829804e-01,yes
order,isotropic_tophat,lumi-g,1.0000000000e-05,2,9.3167701859e-03,3.8919799117e+04,no
order,isotropic_tophat,lumi-g,1.0000000000e-05,4,1.0118987041e-01,5.1727938777e+01,no
order,isotropic_tophat,lumi-g,1.0000000000e-05,6,2.1198326269e-01,7.3693239868e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-05,8,3.0413812651e-01,3.0987388972e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-05,12,4.3153735620e-01,1.4368703233e+00,no
cheapest,isotropic_tophat,lumi-g,1.0000000000e-05,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-06,2,2.9455081001e-03,1.2316464939e+06,no
order,isotropic_tophat,lumi-g,1.0000000000e-06,4,5.6799974428e-02,2.9247710266e+02,no
order,isotropic_tophat,lumi-g,1.0000000000e-06,6,1.4384578540e-01,2.3585274845e+01,no
order,isotropic_tophat,lumi-g,1.0000000000e-06,8,2.2528750112e-01,7.6240597143e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-06,12,3.4875873188e-01,2.7220587553e+00,no
cheapest,isotropic_tophat,lumi-g,1.0000000000e-06,0,1.0000000000e+00,1.0000000000e+00,no
order,isotropic_tophat,lumi-g,1.0000000000e-08,2,1.0000000000e-03,3.1475072491e+07,no
order,isotropic_tophat,lumi-g,1.0000000000e-08,4,1.7991004497e-02,9.2038611034e+03,no
order,isotropic_tophat,lumi-g,1.0000000000e-08,6,6.7271478094e-02,2.3058946231e+02,no
order,isotropic_tophat,lumi-g,1.0000000000e-08,8,1.2586506222e-01,4.3720185732e+01,no
