# Matched 1-node LUMI-G Heat3D cost matrix, research #592 / OpenPFC #124.
# N=512 and N=1024, spectral and FD-2/8/12, 3 independent repeats (jobs
# 22209970-72). 1 node, 8 GCDs, GPU-aware, production slabs, 30 steps,
# HEAT3D_WARMUP=5, 25 accepted, median wall_step. OpenPFC 040c9b6c,
# HIP Release, heffte-rocm 2.4.1. Do not splice onto b91d2575.
N,method,fd_order,n_repeats,wall_step_ms_median,wall_step_ms_min,wall_step_ms_max,cv_percent,jobs
512,fd,2,3,0.8564469999985391,0.8559440000013296,0.8565929999999611,0.03975949992903377,"22209970,22209971,22209972"
512,fd,8,3,1.8206190000000788,1.8198720000004442,1.821185999999031,0.036200507130771,"22209970,22209971,22209972"
512,fd,12,3,2.5530890000027284,2.5444459999999225,2.5536469999991596,0.202269504462886,"22209970,22209971,22209972"
512,spectral,0,3,20.766784999977972,20.517179000307806,21.372822000103042,2.10681393451091,"22209970,22209971,22209972"
1024,fd,2,3,6.57217900000262,6.567533000001902,6.577313000001084,0.07443357332937772,"22209970,22209971,22209972"
1024,fd,8,3,18.31938899999841,18.27548099999632,18.500977999998724,0.6509495070346973,"22209970,22209971,22209972"
1024,fd,12,3,24.701364999998532,24.614151000008633,24.834702000006814,0.44939740778700976,"22209970,22209971,22209972"
1024,spectral,0,3,184.385896000002,183.31553699999859,187.8827960000038,1.2898032969979567,"22209970,22209971,22209972"
