# Explanatory diagnostics at matched f; not a fitted replacement for occupancy.
family_id,content_fraction,N,dim,fd_order,energy_high_k,energy_near_cutoff,moment2_over_nyquist2,moment4_over_nyquist4,weighted_d2_defect
isotropic_exponential,2.0000000000e-01,64,3,2,5.4587254558e-13,8.5820703633e-04,2.0666723817e-03,1.3113946236e-05,6.3823471888e-05
isotropic_exponential,2.5000000000e-01,64,3,2,3.9030574227e-10,1.2424767331e-03,3.6028241461e-03,3.5491788166e-05,1.7219328237e-04
isotropic_exponential,3.0000000000e-01,64,3,2,2.8523704463e-08,1.1684942420e-03,5.4185979716e-03,7.6728747587e-05,3.7144098605e-04
isotropic_exponential,3.5000000000e-01,64,3,2,5.7898335638e-07,1.1788997330e-03,7.5206806160e-03,1.4486522001e-04,6.9967270708e-04
isotropic_exponential,4.0000000000e-01,64,3,2,5.3351511911e-06,1.1774935898e-03,9.9187063775e-03,2.4948665642e-04,1.2018623528e-03
isotropic_exponential,4.5000000000e-01,64,3,2,2.9213355621e-05,1.1502528914e-03,1.2619255337e-02,4.0168804617e-04,1.9294526275e-03
isotropic_exponential,5.0000000000e-01,64,3,2,1.1152779248e-04,1.1726992061e-03,1.5626403525e-02,6.1405806567e-04,2.9400197551e-03
isotropic_exponential,5.5000000000e-01,64,3,2,3.2834802642e-04,1.1360917205e-03,1.8942671861e-02,9.0067213118e-04,4.2969548387e-03
isotropic_exponential,6.0000000000e-01,64,3,2,7.9689329681e-04,1.1504622839e-03,2.2569652748e-02,1.2770865502e-03,6.0691265106e-03
isotropic_exponential,6.5000000000e-01,64,3,2,1.6691430968e-03,1.1543864871e-03,2.6508369435e-02,1.7603250954e-03,8.3304869953e-03
isotropic_exponential,7.0000000000e-01,64,3,2,3.1170631682e-03,1.1562360243e-03,3.0759462789e-02,2.3688432678e-03,1.1159559488e-02
isotropic_exponential,7.5000000000e-01,64,3,2,5.3143983987e-03,1.1849342465e-03,3.5323258332e-02,3.1224478785e-03,1.4638717450e-02
isotropic_exponential,8.0000000000e-01,64,3,2,8.4196712825e-03,1.1508874196e-03,4.0199736342e-02,4.0421454115e-03,1.8853159089e-02
isotropic_exponential,8.5000000000e-01,64,3,2,1.2563278390e-02,1.1556962195e-03,4.5388416125e-02,5.1498958400e-03,2.3889507213e-02
isotropic_exponential,9.0000000000e-01,64,3,2,1.7839717485e-02,1.1523951975e-03,5.0888166706e-02,6.4682596858e-03,2.9834022802e-02
separable_exponential,1.0000000000e-01,64,3,2,3.8243235235e-31,1.4400613126e-05,8.0262380617e-05,9.5560030384e-08,7.4045337361e-07
separable_exponential,1.5000000000e-01,64,3,2,1.4003769079e-20,5.7137849926e-05,3.6993273286e-04,7.2619637267e-07,5.1484068843e-06
separable_exponential,2.0000000000e-01,64,3,2,2.3877380974e-15,2.0989693601e-05,8.6483689757e-04,2.8390815745e-06,1.8959547771e-05
separable_exponential,2.5000000000e-01,64,3,2,3.0566518061e-12,3.6673252957e-05,1.5414373102e-03,7.8413871571e-06,5.0630537835e-05
separable_exponential,3.0000000000e-01,64,3,2,3.4560848411e-10,5.3482858528e-05,2.3875837408e-03,1.7533107731e-05,1.1095863205e-04
separable_exponential,3.5000000000e-01,64,3,2,9.8953663827e-09,7.3600907635e-05,3.3975598947e-03,3.4100364886e-05,2.1299008664e-04
separable_exponential,4.0000000000e-01,64,3,2,1.2110944595e-07,4.7036683262e-05,4.5685424315e-03,6.0119013742e-05,3.7198564691e-04
